Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.7,01/10/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.48,01/10/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.17,01/10/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,OUTOKUMPU OYJ,FI0009002422,0.86,01/09/2025
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.2,01/09/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,2.0,01/09/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,1.9,01/09/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.05,01/09/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.11,01/08/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.71,01/08/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.5,01/08/2025
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.8,01/08/2025
AKO CAPITAL LLP,NOKIA OYJ,FI0009000681,0.5,01/08/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,1.63,01/08/2025
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.88,01/08/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,OUTOKUMPU OYJ,FI0009002422,0.73,01/07/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,1.54,01/06/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.92,01/03/2025
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,1.38,01/03/2025
"EXODUSPOINT CAPITAL MANAGEMENT, LP",OUTOKUMPU OYJ,FI0009002422,0.5,01/03/2025
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,0.79,01/03/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.42,01/03/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.08,01/02/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.67,01/02/2025
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.79,12/31/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.1,12/30/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.49,12/30/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.54,12/30/2024
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.1,12/30/2024
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.6,12/27/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,KEMPOWER OYJ,FI4000513593,0.59,12/23/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.09,12/23/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.71,12/20/2024
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.59,12/20/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.1,12/20/2024
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,1.12,12/20/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.86,12/20/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.79,12/20/2024
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.78,12/20/2024
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.79,12/19/2024
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.0,12/19/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,KEMPOWER OYJ,FI4000513593,0.6,12/19/2024
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,0.95,12/19/2024
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,0.89,12/19/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.48,12/19/2024
MARSHALL WACE LLP,WÄRTSILÄ OYJ ABP,FI0009003727,0.49,12/19/2024
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.87,12/18/2024
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,0.97,12/18/2024
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.89,12/18/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.9,12/18/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.84,12/18/2024
SONA ASSET MANAGEMENT (UK) LLP,OUTOKUMPU OYJ,FI0009002422,0.63,12/18/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,METSÄ BOARD OYJ,FI0009000665,0.49,12/17/2024
ACTUSRAYPARTNERS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.5,12/17/2024
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.89,12/17/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.58,12/17/2024
JPMORGAN ASSET MANAGEMENT (UK) LTD,NOKIAN RENKAAT OYJ,FI0009005318,1.09,12/16/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,2.1,12/16/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,2.06,12/16/2024
MILLENNIUM CAPITAL MANAGEMENT FRANCE,OUTOKUMPU OYJ,FI0009002422,0.57,12/16/2024
PERBAK CAPITAL PARTNERS LLP,VALMET OYJ,FI4000074984,0.49,12/13/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,2.49,12/13/2024
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.6,12/13/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,1.95,12/13/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.6,12/13/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.6,12/13/2024
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.62,12/13/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,METSÄ BOARD OYJ,FI0009000665,0.5,12/12/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.51,12/12/2024
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",METSO OYJ,FI0009014575,0.6,12/12/2024
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.99,12/11/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.15,12/11/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.71,12/11/2024
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,1.09,12/10/2024
PERBAK CAPITAL PARTNERS LLP,VALMET OYJ,FI4000074984,0.59,12/10/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.07,12/10/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.19,12/09/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.5,12/09/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,TIETOEVRY OYJ,FI0009000277,0.03,12/06/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,1.47,12/05/2024
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.7,12/05/2024
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.99,12/05/2024
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.99,12/04/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.49,12/04/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.5,12/03/2024
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,1.17,12/03/2024
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.68,12/02/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.7,12/02/2024
MARSHALL WACE LLP,UPM-KYMMENE OYJ,FI0009005987,0.46,12/02/2024
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.8,12/02/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,1.58,11/29/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,KEMPOWER OYJ,FI4000513593,0.57,11/29/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,METSÄ BOARD OYJ,FI0009000665,0.46,11/29/2024
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.7,11/29/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.67,11/29/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.89,11/29/2024
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,OUTOKUMPU OYJ,FI0009002422,0.67,11/28/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,METSÄ BOARD OYJ,FI0009000665,0.5,11/28/2024
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.69,11/28/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.7,11/28/2024
MARSHALL WACE LLP,KESKO OYJ,FI0009000202,0.49,11/28/2024
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.0,11/27/2024
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.6,11/27/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.48,11/27/2024
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.7,11/25/2024
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.58,11/25/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.54,11/25/2024
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,1.25,11/25/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.43,11/21/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.57,11/21/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.69,11/21/2024
PERBAK CAPITAL PARTNERS LLP,VALMET OYJ,FI4000074984,0.6,11/21/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.63,11/20/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.02,11/20/2024
MARSHALL WACE LLP,UPM-KYMMENE OYJ,FI0009005987,0.5,11/20/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.21,11/19/2024
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.5,11/19/2024
MARSHALL WACE LLP,UPM-KYMMENE OYJ,FI0009005987,0.49,11/19/2024
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.09,11/19/2024
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.6,11/19/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.69,11/18/2024
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",FINNAIR OYJ,FI4000567029,0.49,11/18/2024
MARSHALL WACE LLP,UPM-KYMMENE OYJ,FI0009005987,0.5,11/18/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.59,11/18/2024
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,1.1,11/18/2024
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.1,11/15/2024
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.61,11/15/2024
MARSHALL WACE LLP,UPM-KYMMENE OYJ,FI0009005987,0.49,11/15/2024
"AQR CAPITAL MANAGEMENT, LLC",NESTE OYJ,FI0009013296,0.7,11/14/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.79,11/14/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.3,11/14/2024
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,1.29,11/14/2024
MARSHALL WACE LLP,UPM-KYMMENE OYJ,FI0009005987,0.5,11/14/2024
MARSHALL WACE LLP,UPM-KYMMENE OYJ,FI0009005987,0.49,11/13/2024
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.91,11/13/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.21,11/13/2024
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.52,11/12/2024
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.71,11/12/2024
PERBAK CAPITAL PARTNERS LLP,VALMET OYJ,FI4000074984,0.51,11/12/2024
MARSHALL WACE LLP,UPM-KYMMENE OYJ,FI0009005987,0.5,11/12/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.3,11/12/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,1.61,11/11/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.47,11/11/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.8,11/08/2024
POINT72 EUROPE (LONDON) LLP,METSO OYJ,FI0009014575,0.5,11/08/2024
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,TIETOEVRY OYJ,FI0009000277,0.48,11/08/2024
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.69,11/08/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.54,11/07/2024
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,1.0,11/07/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.78,11/07/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.61,11/07/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.73,11/06/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.78,11/06/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.43,11/06/2024
MARSHALL WACE LLP,WÄRTSILÄ OYJ ABP,FI0009003727,0.58,11/06/2024
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,0.91,11/05/2024
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.81,11/05/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.92,11/05/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.33,11/05/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.52,11/05/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.88,11/04/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.82,11/04/2024
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.0,11/04/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.68,11/04/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,1.52,11/01/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.84,11/01/2024
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.59,11/01/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.49,11/01/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.29,10/31/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.5,10/31/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.7,10/31/2024
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,0.86,10/31/2024
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",FINNAIR OYJ,FI4000567029,0.5,10/31/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.58,10/30/2024
MARSHALL WACE LLP,KESKO OYJ,FI0009000202,0.52,10/30/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.71,10/30/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.71,10/30/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.64,10/29/2024
"AQR CAPITAL MANAGEMENT, LLC",STORA ENSO OYJ,FI0009005961,0.49,10/29/2024
MARSHALL WACE LLP,WÄRTSILÄ OYJ ABP,FI0009003727,0.6,10/29/2024
BOLDHAVEN MANAGEMENT LLP,QT GROUP OYJ,FI4000198031,0.42,10/29/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.37,10/29/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.49,10/29/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.91,10/29/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,1.42,10/29/2024
"AQR CAPITAL MANAGEMENT, LLC",NESTE OYJ,FI0009013296,0.61,10/29/2024
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",FINNAIR OYJ,FI4000567029,0.49,10/28/2024
POINT72 EUROPE (LONDON) LLP,KONE OYJ,FI0009013403,0.49,10/28/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.42,10/28/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,TIETOEVRY OYJ,FI0009000277,0.52,10/25/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.81,10/25/2024
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.7,10/25/2024
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,0.78,10/25/2024
POINT72 EUROPE (LONDON) LLP,KONE OYJ,FI0009013403,0.5,10/25/2024
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.99,10/24/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,TIETOEVRY OYJ,FI0009000277,0.44,10/24/2024
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,0.54,10/24/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.68,10/23/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,TIETOEVRY OYJ,FI0009000277,0.51,10/23/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.78,10/22/2024
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.7,10/21/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.68,10/21/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.7,10/21/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.82,10/21/2024
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.61,10/21/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.4,10/21/2024
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,TIETOEVRY OYJ,FI0009000277,0.55,10/17/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.94,10/17/2024
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,1.04,10/17/2024
MARSHALL WACE LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.7,10/16/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.71,10/16/2024
MARSHALL WACE LLP,WÄRTSILÄ OYJ ABP,FI0009003727,0.59,10/15/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.69,10/15/2024
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",YIT OYJ,FI0009800643,0.49,10/15/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.32,10/15/2024
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.91,10/14/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.62,10/14/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.7,10/14/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,1.09,10/14/2024
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,1.12,10/11/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.58,10/11/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,1.1,10/11/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.69,10/11/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.31,10/10/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.47,10/09/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.27,10/09/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,1.35,10/09/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.7,10/07/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,1.09,10/07/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.57,10/07/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.57,10/07/2024
MILLENNIUM CAPITAL PARTNERS LLP,FORTUM OYJ,FI0009007132,0.4,10/03/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.49,10/03/2024
POINT72 EUROPE (LONDON) LLP,KONE OYJ,FI0009013403,0.47,10/03/2024
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.69,10/02/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.6,10/02/2024
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.5,10/01/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.1,10/01/2024
MARSHALL WACE LLP,WÄRTSILÄ OYJ ABP,FI0009003727,0.6,10/01/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,METSO OYJ,FI0009014575,0.48,10/01/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,1.1,10/01/2024
MARSHALL WACE LLP,KONE OYJ,FI0009013403,0.69,10/01/2024
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,1.06,09/30/2024
MARSHALL WACE LLP,WÄRTSILÄ OYJ ABP,FI0009003727,0.59,09/30/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,OUTOKUMPU OYJ,FI0009002422,1.22,09/30/2024
POINT72 EUROPE (LONDON) LLP,KONE OYJ,FI0009013403,0.5,09/30/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.54,09/30/2024
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.49,09/30/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,METSO OYJ,FI0009014575,0.5,09/27/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.47,09/26/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,METSO OYJ,FI0009014575,0.49,09/26/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.51,09/26/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.09,09/26/2024
"AQR CAPITAL MANAGEMENT, LLC",NESTE OYJ,FI0009013296,0.5,09/24/2024
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.5,09/24/2024
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.1,09/24/2024
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.37,09/24/2024
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.78,09/24/2024
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.69,09/23/2024
