Position Holder,LEI of Position Holder,Share Issuer,LEI of Share Issuer,ISIN,Net Short Position (%),Position Date
Clearance Capital Limited,549300CKBFELGPNXBR49,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.78,04/08/2022
Clearance Capital Limited,549300CKBFELGPNXBR49,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.67,11/08/2022
Clearance Capital Limited,549300CKBFELGPNXBR49,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.59,14/09/2022
Clearance Capital Limited,549300CKBFELGPNXBR49,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.39,16/09/2022
Clearance Capital Limited,549300CKBFELGPNXBR49,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.57,29/08/2023
Clearance Capital Limited,549300CKBFELGPNXBR49,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.42,05/10/2023
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.52,22/08/2016
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.6,25/08/2016
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.93,01/09/2016
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,1.09,02/09/2016
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,1.11,05/09/2016
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,1.24,21/11/2016
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,1.3,23/11/2016
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,1.29,07/07/2017
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,1.19,11/07/2017
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,1.08,17/07/2017
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.98,29/03/2018
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.82,04/04/2018
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.72,05/04/2018
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.58,06/04/2018
"Elliott Capital Advisors, LP",,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0005322612,0.41,09/04/2018
Farringdon Capital Management,,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.61,24/04/2013
Farringdon Capital Management,,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.72,26/04/2013
Farringdon Capital Management,,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.76,29/04/2013
Farringdon Capital Management,,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.82,30/04/2013
Farringdon Capital Management,,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.87,03/05/2013
Farringdon Capital Management,,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.9,07/05/2013
Farringdon Capital Management,,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,1.09,26/07/2013
Farringdon Capital Management,,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,1.14,12/08/2013
Farringdon Capital Management,,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,1.09,22/08/2013
Farringdon Capital Management,,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.0,19/10/2017
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.69,09/10/2014
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.82,10/10/2014
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,IGD - IMMOBILIARE GRANDE DISTRIBUZIONE SIIQ SPA,815600CF8C0389D0E272,IT0003745889,0.0,17/10/2014
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,IKF SPA,,IT0004488307,0.57,19/04/2016
Intermonte Sim S.p.a.,YMUU1WGHJKORF9E36I98,IKF SPA,,IT0004488307,0.0,08/08/2016
ACADIAN ASSET MANAGEMENT LLC,RQTOM0CI0L1JQEIRRN40,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,13/07/2020
ACADIAN ASSET MANAGEMENT LLC,RQTOM0CI0L1JQEIRRN40,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,11/08/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.54,22/06/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.6,01/07/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.71,08/07/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.8,28/07/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.77,06/09/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.69,07/10/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.7,02/11/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.69,05/11/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.7,10/11/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.69,11/11/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.7,12/11/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.8,07/12/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.75,09/12/2021
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.69,13/01/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.58,03/02/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.48,10/02/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,14/02/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,15/02/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,16/02/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.61,24/02/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.59,02/03/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,15/03/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,13/05/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,18/05/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.51,07/10/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,10/10/2022
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.51,14/04/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,21/04/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.51,26/04/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.6,02/05/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.71,12/05/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.69,15/05/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.59,02/06/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,26/06/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,22/05/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.6,29/05/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.7,13/06/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.69,03/07/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.7,08/07/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.69,09/07/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.75,11/07/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.69,17/07/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.59,23/07/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.48,08/08/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,09/08/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,16/08/2024
"Cubist Systematic Strategies, LLC",549300A1ZLHM70N6U553,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.51,10/01/2025
"Cubist Systematic Strategies, LLC",549300A1ZLHM70N6U553,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.61,14/01/2025
"Cubist Systematic Strategies, LLC",549300A1ZLHM70N6U553,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.57,18/02/2025
"Cubist Systematic Strategies, LLC",549300A1ZLHM70N6U553,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,05/03/2025
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,22/05/2023
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,08/06/2023
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.55,23/10/2023
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.6,27/10/2023
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.59,06/11/2023
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.47,13/11/2023
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,06/05/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.6,23/05/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.55,30/05/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.61,06/08/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.72,13/11/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.8,21/11/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.94,25/11/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,1.01,28/11/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.95,04/12/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,1.0,17/12/2024
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,1.1,02/01/2025
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,1.09,03/01/2025
GSA Capital Partners LLP,213800CWAHHW6YYZII58,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.96,08/01/2025
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.56,29/04/2024
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.62,07/05/2024
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.7,22/05/2024
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.82,30/05/2024
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.9,21/06/2024
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.84,05/07/2024
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.79,09/07/2024
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.64,11/07/2024
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.58,23/07/2024
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,13/09/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.51,22/11/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.0,25/11/2024
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,03/03/2025
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.6,08/04/2025
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.58,09/04/2025
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.48,23/04/2025
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.51,14/11/2024
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.6,19/11/2024
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.71,29/11/2024
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.83,17/12/2024
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.92,19/12/2024
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,1.06,09/01/2025
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,1.16,16/01/2025
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,1.09,24/01/2025
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,1.14,11/02/2025
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,1.09,13/02/2025
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.99,28/02/2025
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.89,17/03/2025
"PDT Partners, LLC",549300WBD0DQZRTLVD96,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.79,30/04/2025
"WorldQuant, LLC",549300ARVD4LVNCUBN81,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,02/03/2023
"WorldQuant, LLC",549300ARVD4LVNCUBN81,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,15/03/2023
"WorldQuant, LLC",549300ARVD4LVNCUBN81,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,21/09/2023
"WorldQuant, LLC",549300ARVD4LVNCUBN81,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.47,06/11/2023
"WorldQuant, LLC",549300ARVD4LVNCUBN81,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.5,26/08/2024
"WorldQuant, LLC",549300ARVD4LVNCUBN81,ILLIMITY BANK SPA,815600A029117B20DD63,IT0005359192,0.49,02/09/2024
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.5,26/09/2023
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.48,21/12/2023
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.51,10/07/2024
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.6,17/10/2024
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.17,14/11/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.5,08/03/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.64,13/03/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.72,16/03/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.8,23/03/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.75,24/03/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.43,05/04/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.51,11/05/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.61,15/05/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.57,17/05/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.61,09/06/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.59,17/07/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.66,31/07/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.71,01/08/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.68,16/08/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.71,29/08/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.67,31/08/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.55,18/09/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.49,20/09/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.5,21/09/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.41,22/09/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.53,02/11/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.49,06/11/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.51,08/11/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.47,09/11/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.5,07/12/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.6,13/12/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.7,18/12/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.82,20/12/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.78,22/12/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.8,12/01/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.79,15/01/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.8,16/01/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.79,22/01/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.67,12/02/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.59,15/02/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.6,16/02/2024
Citadel Advisors LLC,549300SHI4D0QGWI8X45,INDUSTRIE DE NORA SPA,815600CD933CB2F89862,IT0005186371,0.59,21/02/2024
